id;start_date;end_date;language
1;2019-08-27T05:33:22;2019-08-26T22:41:39;SPANISH
2;2019-08-27T07:03:27;2019-08-26T16:09:37;ENGLISH
3;2019-08-27T02:35:32;2019-08-26T17:59:32;ENGLISH
4;2019-08-26T15:47:23;2019-08-26T23:14:25;SPANISH
5;2019-08-27T00:46:02;2019-08-27T05:30:11;FRENCH
6;2019-08-27T07:03:03;2019-08-27T08:19:59;FRENCH
7;2019-08-26T16:25:22;2019-08-27T05:06:09;FRENCH
8;2019-08-26T13:56:41;2019-08-26T21:56:50;SPANISH
9;2019-08-26T23:44:47;2019-08-27T08:09:25;SPANISH
10;2019-08-27T03:02:57;2019-08-27T00:19:11;ENGLISH
